NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Santo André,Jardim Irene,16,6788,13.0,38.30288744843842,16.633554840035625,21.0563713637471
São Caetano do Sul,Santa Maria,38,18083,13.0,14.378145219266715,16.66324130529104,21.14442673944184
Guarulhos,Sadokim,16,9419,12.0,25.480411933326252,16.69064419629604,21.1902926678646
Itaquaquecetuba,Cidade Kemel,28,17106,12.0,14.03016485443704,16.718047087301045,21.273590530864887
Santo André,Vila Pires,26,14993,12.0,16.007470152737945,16.745449978306045,21.34659911615445
Itaquaquecetuba,Cuiabá,43,28128,12.0,8.532423208191126,16.772852869311045,21.48356873444465
Santo André,Jardim,39,15994,12.0,15.005627110166312,16.800255760316045,21.56145170070366
Santo André,Jardim Ipanema,18,9872,12.0,24.311183144246353,16.827658651321048,21.609523517816882
Santo André,Jardim Guarará,14,5284,12.0,45.42013626040878,16.855061542326048,21.63525401636088
Santo André,Jardim Cristiane,20,9368,12.0,25.619128949615714,16.882464433331048,21.680871599699277
Santo André,Vila Linda,20,11044,12.0,21.73125679101775,16.90986732433605,21.734650484241264
Osasco,Vila Osasco,29,12126,12.0,19.792182088075208,16.93727021534105,21.793698180180787
Mauá,RP6 (Regiões de Planejamento),18,8256,11.0,26.647286821705425,16.96238953209564,21.83390086677791
Osasco,Remédios,13,4990,11.0,44.08817635270541,16.98750884885022,21.858199728953252
Osasco,Cidade das Flores,15,8316,11.0,26.455026455026456,17.012628165604802,21.898694586237855
Santo André,Centreville,11,5138,11.0,42.81821720513819,17.03774748235939,21.92371413610898
Osasco,Industrial Anhanguera,14,6096,11.0,36.08923884514436,17.062866799113973,21.953398677956855
Ribeirão Pires,Santa Luzia,13,9735,11.0,22.598870056497177,17.08798611586856,22.000803372000338
Ribeirão Pires,Colônia,13,8627,11.0,25.50133302422627,17.11310543262314,22.042812647348374
Guarulhos,Água Azul,6,2200,11.0,100.0,17.138224749377727,22.05352557255594
Santo André,Vila João Ramalho,16,8301,11.0,26.50283098421877,17.16334406613231,22.093947387168672
Osasco,Quintaúna,19,9013,11.0,24.409186730278485,17.188463382886894,22.13783629393949
São Caetano do Sul,Santa Paula,49,17508,11.0,12.565684258624628,17.213582699641478,22.223091700545886
São Bernardo do Campo,Anchieta,40,15970,11.0,13.77582968065122,17.23870201639606,22.300857798529904
São Caetano do Sul,Fundação,29,8214,11.0,26.783540297053808,17.26382133315065,22.340855965645794
Santo André,Vila Scarpelli,15,7307,11.0,30.108115505679486,17.288940649905232,22.376437485869285
Itaquaquecetuba,Pinheirinho,29,19948,10.0,10.026067776218166,17.3117763924094,22.473574500433166
Osasco,Cipava,17,8562,10.0,23.3590282644242,17.334612134913566,22.515267257536433
Santo André,Jardim Stella,19,9066,10.0,22.060445621001545,17.357447877417734,22.559414248414527
Santo André,Jardim Telles de Menezes,18,9258,10.0,21.602937999567942,17.3802836199219,22.604496185492547
Guarulhos,Cecap,20,10002,10.0,19.996000799840033,17.40311936242607,22.65320103909531
Osasco,Bonfim,3,1621,10.0,123.38062924120914,17.42595510493024,22.661094517168703
Itaquaquecetuba,Rio Abaixo,61,35367,10.0,5.654989114145955,17.448790847434402,22.833314528903255
São Caetano do Sul,Boa Vista,43,14559,10.0,13.737207225771002,17.471626589938573,22.904209746220054
São Bernardo do Campo,Dos Finco,20,10117,10.0,19.768706138183255,17.49446233244274,22.953474593640486
Santo André,Parque Erasmo Assunção,32,14033,9.0,12.826908002565382,17.51501450069649,23.021808447930386
São Caetano do Sul,Barcelona,43,12483,9.0,14.419610670511897,17.535566668950242,23.08259455946041
Itaquaquecetuba,Pium,19,14259,9.0,12.623606143488322,17.55611883720399,23.152028923339817
Santo André,Vila Lucinda,16,7139,9.0,25.213615352290237,17.57667100545774,23.18679236563837
São Bernardo do Campo,Botujuru,22,13013,9.0,13.832321524629219,17.597223173711495,23.250159318241124
Osasco,Industrial Autonomistas,33,14571,9.0,12.353304508956144,17.617775341965245,23.321112969695424
Santo André,Vila Floresta,15,8338,9.0,21.58791076996882,17.638327510218996,23.361714956232102
São Caetano do Sul,Olímpico,31,15964,9.0,11.275369581558506,17.658879678472744,23.43945183714737
Santo André,Jardim Alvorada,22,9550,8.0,16.75392670157068,17.677148272476078,23.485955671571123
Guarulhos,Monte Carmelo,15,5911,8.0,27.068177973270174,17.695416866479412,23.514739353799275
Santo André,Vila Lutécia,13,5297,8.0,30.205776854823487,17.713685460482747,23.540533155992218
Santo André,Jardim Bela Vista,23,8982,8.0,17.81340458695168,17.73195405448608,23.58427110790784
Santo André,Jardim Alzira Franco,13,7596,8.0,21.063717746182203,17.750222648489416,23.62125991694269
Ribeirão Pires,Centro Alto,9,4878,8.0,32.800328003280036,17.76849124249275,23.64501339383474
Santo André,Jardim Utinga,9,5876,8.0,27.22940776038121,17.78675983649608,23.67362664316186
Santo André,Vila Alzira,24,10675,8.0,14.988290398126463,17.805028430499416,23.72560867797585
Santo André,Santa Terezinha,17,7481,8.0,21.387515038096513,17.82329702450275,23.76203749319303
Santo André,Parque Marajoara,18,9368,8.0,17.079419299743808,17.841565618506085,23.807655076531432
Ribeirão Pires,Pilar Velho,11,5014,8.0,31.910650179497406,17.85983421250942,23.83207080698177
São Bernardo do Campo,Rio Grande,14,6869,7.0,20.381423788033192,17.875819232262337,23.865519481186666
Osasco,Umuarama,19,10227,7.0,13.689253935660506,17.891804252015252,23.915319974867476
