mun_n,bairro_n,n_cases
SANTO ANDRE,PARANAPIACABA,1
SANTO ANDRE,MIAMI RIVIERA,1
SANTO ANDRE,JARDIM RIVIERA,1
SANTO ANDRE,JARDIM JAMAICA,1
SANTO ANDRE,JARDIM CAMBUI,1
SANTANA DE PARNAIBA,TAMBORE 2,1
SANTANA DE PARNAIBA,REFUGIO DOS BANDEIRANTES,1
SANTANA DE PARNAIBA,PARQUE FERNAO DIAS,1
SANTANA DE PARNAIBA,JARDIM RUBI,1
SANTANA DE PARNAIBA,JARDIM PARNAIBA,1
SAO BERNARDO DO CAMPO,JARDIM DOS QUIMICOS,1
SAO BERNARDO DO CAMPO,JARDIM LAURA II,1
SAO PAULO,ALDEIA INDIGENA TEKOA YTU,1
SAO BERNARDO DO CAMPO,JARDIM MARCO POLO,1
SAO PAULO,ALDEIA INDIGENA KALIPETY,1
SAO LOURENCO DA SERRA,DESPEZIO,1
SAO BERNARDO DO CAMPO,ZANZALA,1
SAO BERNARDO DO CAMPO,VILA SAO JOSE,1
SAO BERNARDO DO CAMPO,VILA SANTA TEREZINHA,1
SAO BERNARDO DO CAMPO,VILA SACILOTTO,1
SAO BERNARDO DO CAMPO,VILA LUIZ CASA,1
SAO BERNARDO DO CAMPO,VILA JAHU,1
SAO BERNARDO DO CAMPO,VILA GONCALVES,1
SAO BERNARDO DO CAMPO,VILA CRISTIANE,1
SAO BERNARDO DO CAMPO,RURAL,1
SAO BERNARDO DO CAMPO,RECANTO DOS PASSAROS,1
SAO BERNARDO DO CAMPO,PARQUE SAO JOSE,1
SAO BERNARDO DO CAMPO,PARQUE DOS QUIMICOS,1
SAO BERNARDO DO CAMPO,NUCLEO JESUS DE NAZARE,1
SAO BERNARDO DO CAMPO,JARDIM UENOYAMA,1
SAO BERNARDO DO CAMPO,JARDIM REGINA,1
VARGEM GRANDE PAULISTA,VILA SAO JUDAS TADEU,1
