NM_MUN,bairro,n_setores,pop,casos,taxa,cum_pct_casos
Mauá,RP4 (Regiões de Planejamento),1,170,2.0,235.2941176470588,10.048073134210734
Osasco,Industrial Anhanguera,1,149,2.0,268.45637583892614,10.063834817558515
Osasco,Paiva Ramos,1,142,2.0,281.69014084507046,10.079596500906298
Ribeirão Pires,Pouso Alegre,1,236,2.0,169.4915254237288,10.09535818425408
São Bernardo do Campo,Tatetos,1,255,2.0,156.8627450980392,10.111119867601861
Santo André,Vila Alpina,1,124,2.0,322.5806451612903,10.126881550949642
Santo André,Jardim Telles de Menezes,1,182,2.0,219.78021978021977,10.142643234297424
São Bernardo do Campo,Rudge Ramos,1,183,2.0,218.5792349726776,10.158404917645205
Guarulhos,Maia,1,127,1.0,157.48031496062993,10.166285759319095
Diadema,Piraporinha,1,107,1.0,186.9158878504673,10.174166600992987
Caieiras,Santa Inês,1,105,1.0,190.47619047619048,10.182047442666876
Santo André,Jardim Itapoan,1,116,1.0,172.41379310344828,10.189928284340768
Santo André,Vila Humaitá,1,111,1.0,180.18018018018017,10.197809126014658
Santo André,Centro,1,115,1.0,173.91304347826087,10.20568996768855
Santo André,Vila América,1,128,1.0,156.25,10.21357080936244
Santo André,Rio Bonito,1,105,1.0,190.47619047619048,10.22145165103633
Osasco,Baronesa,1,117,1.0,170.94017094017093,10.229332492710222
